ATRNOMECIDADE,ATRSIGLAESTADO,ATRDATAINICIO,ATRDATAFINAL,ATRDOMINGO,ATRSEGUNDA,ATRTERCA,ATRQUARTA,ATRQUINTA,ATRSEXTA,ATRSABADO
São Bernardo do Campo,SP,20210406,20210417,S,S,S,S,S,S,S
São Bernardo do Campo,SP,20201226,20210102,S,S,S,S,S,S,S
São Paulo,SP,20200422,20200505,S,S,S,S,S,S,S
São Paulo,SP,20201201,20211128,S,S,S,S,S,S,S
São Paulo,SP,20201101,20201130,S,S,S,S,S,S,S
Itaquaquecetuba,SP,20220401,20220427,S,S,S,S,S,S,S
Itaquaquecetuba,SP,20200323,20220331,S,S,S,S,S,S,S
Americana,SP,20230401,99991231,S,S,S,S,S,S,S
Americana,SP,20220401,20230331,S,S,S,S,S,S,S
Americana,SP,20200323,20211126,S,S,S,S,S,S,S
Guarulhos,SP,20200508,20220630,S,S,S,S,S,S,S
Campinas,SP,20210601,20220630,S,S,S,S,S,S,S
Campinas,SP,20210205,20210205,S,S,S,S,S,S,S
Campinas,SP,20201231,20201231,S,S,S,S,S,S,S
Campinas,SP,20201230,20201230,S,S,S,S,S,S,S
Campinas,SP,20201229,20201229,S,S,S,S,S,S,S
Campinas,SP,20201228,20201228,S,S,S,S,S,S,S
Campinas,SP,20201218,20201218,S,S,S,S,S,S,S
Campinas,SP,20201103,20201103,S,S,S,S,S,S,S
Campinas,SP,20211203,99991231,S,S,S,S,S,S,S
Campinas,SP,20210401,20210630,S,S,S,S,S,S,S
Campinas,SP,20210101,20210331,S,S,S,S,S,S,S
Campinas,SP,20210630,20211202,S,S,S,S,S,S,S
São Paulo,SP,20200902,20200902,S,S,S,S,S,S,S
São Paulo,SP,20200904,20200907,S,S,S,S,S,S,S
São Paulo,SP,20200718,20200720,S,S,S,S,S,S,S
São Paulo,SP,20200723,20200727,S,S,S,S,S,S,S
São Paulo,SP,20200730,20200731,S,S,S,S,S,S,S
São Paulo,SP,20200801,20200803,S,S,S,S,S,S,S
São Paulo,SP,20200805,20200811,S,S,S,S,S,S,S
São Paulo,SP,20200813,20200817,S,S,S,S,S,S,S
São Paulo,SP,20200820,20200831,S,S,S,S,S,S,S
São Paulo,SP,20200701,20200716,S,S,S,S,S,S,S
São Paulo,SP,20230207,99991231,S,S,S,S,S,S,S
São Paulo,SP,20220921,20230206,S,S,S,S,S,S,S
São Paulo,SP,20200318,20210217,S,S,S,S,S,S,S
São Paulo,SP,20201101,20211201,S,S,S,S,S,S,S
São Paulo,SP,20220629,99991231,S,S,S,S,S,S,S
São Paulo,SP,20200323,20220628,S,S,S,S,S,S,S
São Paulo,SP,20210322,20210331,S,S,S,S,S,S,S
São Paulo,SP,20200320,20210117,S,S,S,S,S,S,S
Indaiatuba,SP,20220701,99991231,S,S,S,S,S,S,S
Indaiatuba,SP,20200323,20220630,S,S,S,S,S,S,S
São Paulo,SP,20201101,20201130,S,S,S,S,S,S,S
São Paulo,SP,20201201,20211231,S,S,S,S,S,S,S
São Paulo,SP,20220124,20220125,S,S,S,S,S,S,S
São Paulo,SP,20211217,20211218,S,S,S,S,S,S,S
São Paulo,SP,20211015,20211015,S,S,S,S,S,S,S
São Paulo,SP,20210920,20210920,S,S,S,S,S,S,S
São Paulo,SP,20210617,20210617,S,S,S,S,S,S,S
São Paulo,SP,20210603,20210603,S,S,S,S,S,S,S
São Paulo,SP,20210405,20210405,S,S,S,S,S,S,S
Campinas,SP,20200320,20211128,S,S,S,S,S,S,S
Valinhos,SP,20200408,20200408,S,S,S,S,S,S,S
Campinas,SP,20210227,20210228,S,S,S,S,S,S,S
